"Kod";"Nazwa";"Rodzaje obiektów";"Rodzaje placówek";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"domy pracy twórczej";"punkty gastronomiczne";"2022";2;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"restauracje";"2019";35;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"restauracje";"2020";39;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"restauracje";"2021";36;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"restauracje";"2022";46;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"bary i kawiarnie";"2019";47;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"bary i kawiarnie";"2020";40;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"bary i kawiarnie";"2021";40;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"bary i kawiarnie";"2022";42;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"stołówki";"2019";47;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"stołówki";"2020";32;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"stołówki";"2021";37;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"stołówki";"2022";34;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"punkty gastronomiczne";"2019";37;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"punkty gastronomiczne";"2020";41;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"punkty gastronomiczne";"2021";37;"ob.";""
0000000;"POLSKA";"zespoły domków turystycznych";"punkty gastronomiczne";"2022";42;"ob.";""
0000000;"POLSKA";"kempingi";"restauracje";"2019";17;"ob.";""
0000000;"POLSKA";"kempingi";"restauracje";"2020";18;"ob.";""
0000000;"POLSKA";"kempingi";"restauracje";"2021";14;"ob.";""
0000000;"POLSKA";"kempingi";"restauracje";"2022";17;"ob.";""
0000000;"POLSKA";"kempingi";"bary i kawiarnie";"2019";35;"ob.";""
0000000;"POLSKA";"kempingi";"bary i kawiarnie";"2020";30;"ob.";""
0000000;"POLSKA";"kempingi";"bary i kawiarnie";"2021";27;"ob.";""
0000000;"POLSKA";"kempingi";"bary i kawiarnie";"2022";27;"ob.";""
0000000;"POLSKA";"kempingi";"stołówki";"2019";6;"ob.";""
0000000;"POLSKA";"kempingi";"stołówki";"2020";7;"ob.";""
0000000;"POLSKA";"kempingi";"stołówki";"2021";10;"ob.";""
0000000;"POLSKA";"kempingi";"stołówki";"2022";6;"ob.";""
0000000;"POLSKA";"kempingi";"punkty gastronomiczne";"2019";19;"ob.";""
0000000;"POLSKA";"kempingi";"punkty gastronomiczne";"2020";20;"ob.";""
0000000;"POLSKA";"kempingi";"punkty gastronomiczne";"2021";21;"ob.";""
0000000;"POLSKA";"kempingi";"punkty gastronomiczne";"2022";19;"ob.";""
0000000;"POLSKA";"pola biwakowe";"restauracje";"2019";3;"ob.";""
0000000;"POLSKA";"pola biwakowe";"restauracje";"2020";3;"ob.";""
0000000;"POLSKA";"pola biwakowe";"restauracje";"2021";2;"ob.";""
0000000;"POLSKA";"pola biwakowe";"restauracje";"2022";2;"ob.";""
0000000;"POLSKA";"pola biwakowe";"bary i kawiarnie";"2019";15;"ob.";""
0000000;"POLSKA";"pola biwakowe";"bary i kawiarnie";"2020";9;"ob.";""
0000000;"POLSKA";"pola biwakowe";"bary i kawiarnie";"2021";5;"ob.";""
0000000;"POLSKA";"pola biwakowe";"bary i kawiarnie";"2022";7;"ob.";""
0000000;"POLSKA";"pola biwakowe";"stołówki";"2019";11;"ob.";""
0000000;"POLSKA";"pola biwakowe";"stołówki";"2020";6;"ob.";""
0000000;"POLSKA";"pola biwakowe";"stołówki";"2021";4;"ob.";""
0000000;"POLSKA";"pola biwakowe";"stołówki";"2022";5;"ob.";""
0000000;"POLSKA";"pola biwakowe";"punkty gastronomiczne";"2019";19;"ob.";""
0000000;"POLSKA";"pola biwakowe";"punkty gastronomiczne";"2020";13;"ob.";""
0000000;"POLSKA";"pola biwakowe";"punkty gastronomiczne";"2021";17;"ob.";""
0000000;"POLSKA";"pola biwakowe";"punkty gastronomiczne";"2022";17;"ob.";""
0000000;"POLSKA";"hostele";"restauracje";"2019";15;"ob.";""
0000000;"POLSKA";"hostele";"restauracje";"2020";8;"ob.";""
0000000;"POLSKA";"hostele";"restauracje";"2021";4;"ob.";""
0000000;"POLSKA";"hostele";"restauracje";"2022";6;"ob.";""
0000000;"POLSKA";"hostele";"bary i kawiarnie";"2019";11;"ob.";""
0000000;"POLSKA";"hostele";"bary i kawiarnie";"2020";10;"ob.";""
0000000;"POLSKA";"hostele";"bary i kawiarnie";"2021";7;"ob.";""
0000000;"POLSKA";"hostele";"bary i kawiarnie";"2022";13;"ob.";""
0000000;"POLSKA";"hostele";"stołówki";"2019";5;"ob.";""
0000000;"POLSKA";"hostele";"stołówki";"2020";8;"ob.";""
0000000;"POLSKA";"hostele";"stołówki";"2021";11;"ob.";""
0000000;"POLSKA";"hostele";"stołówki";"2022";9;"ob.";""
0000000;"POLSKA";"hostele";"punkty gastronomiczne";"2019";2;"ob.";""
0000000;"POLSKA";"hostele";"punkty gastronomiczne";"2020";3;"ob.";""
0000000;"POLSKA";"hostele";"punkty gastronomiczne";"2021";5;"ob.";""
0000000;"POLSKA";"hostele";"punkty gastronomiczne";"2022";5;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"restauracje";"2019";32;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"restauracje";"2020";30;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"restauracje";"2021";33;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"restauracje";"2022";25;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"bary i kawiarnie";"2019";70;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"bary i kawiarnie";"2020";67;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"bary i kawiarnie";"2021";61;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"bary i kawiarnie";"2022";61;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"stołówki";"2019";173;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"stołówki";"2020";162;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"stołówki";"2021";187;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"stołówki";"2022";171;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"punkty gastronomiczne";"2019";18;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"punkty gastronomiczne";"2020";24;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"punkty gastronomiczne";"2021";21;"ob.";""
0000000;"POLSKA";"zakłady uzdrowiskowe";"punkty gastronomiczne";"2022";14;"ob.";""
0000000;"POLSKA";"schroniska (łącznie z młodzieżowymi i szkolnymi)";"restauracje";"2019";13;"ob.";""
