"Kod";"Nazwa";"Wyszczególnienie";"Kategorie";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2016";34.3;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2017";35.7;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2018";36.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2019";37.2;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2020";22.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2021";26.9;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii **";"2022";38.3;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2002";27.90;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2003";30.90;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2004";35.88;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2005";36.93;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2006";39.46;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2007";39.28;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2008";39.38;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2009";35.19;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2010";35.55;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2011";36.5;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2012";33.5;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2013";34.6;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2014";36.6;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2015";39.7;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2016";42.1;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2017";45.0;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2018";44.6;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2019";44.8;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2020";28.4;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2021";35.7;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"kategorii *";"2022";45.4;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2002";23.10;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2003";23.80;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2004";25.09;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2005";27.67;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2006";30.64;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2007";32.46;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2008";28.13;"%";""
0000000;"POLSKA";"stopień wykorzystania miejsc noclegowych";"w trakcie kategoryzacji";"2009";25.74;"%";""
